Rank,Sample_Index,y_keras,y_hls,abs_delta
1,484,0.168075,0.881836,0.713761
2,147,0.109876,0.817383,0.707507
3,651,0.343335,0.977539,0.634204
4,173,0.234275,0.864258,0.629983
5,1007,0.291231,0.904297,0.613065
6,618,0.337382,0.930664,0.593282
7,555,0.431917,0.982422,0.550505
8,1317,0.433640,0.973633,0.539992
9,14,0.142789,0.667969,0.525180
10,943,0.424747,0.931641,0.506893
11,1114,0.450051,0.954102,0.504051
12,1100,0.493749,0.974609,0.480860
13,530,0.399053,0.876953,0.477900
14,496,0.043331,0.502930,0.459599
15,21,0.196866,0.650391,0.453525
16,1337,0.040949,0.484375,0.443426
17,36,0.502098,0.945312,0.443214
18,65,0.050883,0.484375,0.433492
19,15,0.051112,0.480469,0.429357
20,1335,0.035599,0.464844,0.429245
21,74,0.524224,0.953125,0.428901
22,27,0.081418,0.484375,0.402957
23,619,0.095130,0.488281,0.393151
24,967,0.624271,0.989258,0.364987
25,1076,0.613093,0.976562,0.363469
26,24,0.013346,0.351562,0.338217
27,1010,0.649204,0.985352,0.336148
28,368,0.038814,0.366211,0.327396
29,580,0.688860,0.986328,0.297468
30,1224,0.695411,0.989258,0.293847
31,1080,0.700116,0.992188,0.292071
32,354,0.700349,0.992188,0.291838
33,1309,0.046358,0.333984,0.287626
34,1310,0.682507,0.969727,0.287219
35,1101,0.702253,0.978516,0.276263
36,650,0.718955,0.988281,0.269326
37,109,0.569993,0.826172,0.256178
38,1112,0.747747,0.991211,0.243464
39,1006,0.748926,0.992188,0.243262
40,1025,0.746070,0.989258,0.243187
41,366,0.762560,0.995117,0.232557
42,1060,0.763881,0.988281,0.224400
43,1165,0.772717,0.994141,0.221423
44,121,0.625141,0.845703,0.220562
45,168,0.720704,0.936523,0.215819
46,1068,0.797739,0.990234,0.192495
47,421,0.789339,0.981445,0.192107
48,29,0.019171,0.206055,0.186884
49,1315,0.803424,0.988281,0.184857
50,44,0.806407,0.990234,0.183828
51,350,0.811305,0.995117,0.183812
52,1149,0.816473,0.995117,0.178644
53,566,0.817187,0.981445,0.164259
54,1307,0.015335,0.174805,0.159470
55,635,0.835244,0.992188,0.156943
56,528,0.837727,0.994141,0.156414
57,1016,0.838573,0.993164,0.154591
58,1102,0.835465,0.989258,0.153793
59,1023,0.841677,0.994141,0.152463
60,1001,0.840090,0.992188,0.152097
61,634,0.846142,0.996094,0.149952
62,1072,0.855068,0.993164,0.138096
63,601,0.859726,0.997070,0.137344
64,517,0.859624,0.992188,0.132563
65,988,0.866018,0.997070,0.131052
66,695,0.865183,0.996094,0.130911
67,45,0.866196,0.984375,0.118179
68,1004,0.883361,0.996094,0.112733
69,984,0.885018,0.997070,0.112052
70,1070,0.882325,0.992188,0.109862
71,1082,0.895043,0.997070,0.102027
72,1118,0.895743,0.996094,0.100351
73,982,0.898742,0.998047,0.099305
74,556,0.899788,0.998047,0.098259
75,564,0.900091,0.998047,0.097956
76,1115,0.897183,0.993164,0.095981
77,1029,0.901584,0.996094,0.094510
78,1206,0.905833,0.998047,0.092214
79,968,0.912892,0.998047,0.085155
80,1320,0.003022,0.085938,0.082915
81,146,0.911595,0.993164,0.081569
82,834,0.915279,0.996094,0.080815
83,1301,0.914100,0.994141,0.080041
84,1058,0.917527,0.997070,0.079543
85,1086,0.915650,0.995117,0.079468
86,399,0.919072,0.998047,0.078975
87,1110,0.920485,0.998047,0.077562
88,1135,0.921622,0.997070,0.075449
89,1321,0.002463,0.077148,0.074685
90,494,0.925126,0.998047,0.072921
91,1084,0.928254,0.998047,0.069793
92,716,0.928224,0.993164,0.064940
93,1127,0.933679,0.997070,0.063392
94,1160,0.935050,0.997070,0.062021
95,1167,0.937428,0.998047,0.060619
96,1078,0.934622,0.995117,0.060495
97,428,0.939169,0.999023,0.059855
98,94,0.938291,0.998047,0.059756
99,149,0.936338,0.996094,0.059756
100,1297,0.000036,0.059570,0.059534
101,201,0.938181,0.997070,0.058889
102,942,0.939499,0.996094,0.056594
103,582,0.941516,0.998047,0.056531
104,1009,0.940566,0.997070,0.056504
105,1103,0.939780,0.996094,0.056314
106,949,0.943012,0.998047,0.055034
107,1132,0.944258,0.997070,0.052813
108,1104,0.945088,0.997070,0.051982
109,1156,0.946293,0.997070,0.050777
110,1061,0.946196,0.996094,0.049897
111,1005,0.948342,0.998047,0.049705
112,1116,0.947735,0.996094,0.048359
113,558,0.949723,0.998047,0.048324
114,375,0.951116,0.999023,0.047907
115,1063,0.949599,0.997070,0.047471
116,1143,0.951392,0.997070,0.045678
117,1113,0.951473,0.997070,0.045597
118,1105,0.953174,0.998047,0.044873
119,1259,0.953944,0.998047,0.044103
120,972,0.955323,0.998047,0.042724
121,198,0.954346,0.996094,0.041748
122,1099,0.957714,0.998047,0.040333
123,1073,0.958000,0.998047,0.040047
124,811,0.958831,0.998047,0.039216
125,491,0.959892,0.998047,0.038155
126,86,0.958987,0.997070,0.038083
127,629,0.961242,0.999023,0.037781
128,648,0.961795,0.999023,0.037228
129,807,0.963331,0.999023,0.035692
130,981,0.964604,0.999023,0.034420
131,1157,0.965147,0.999023,0.033876
132,881,0.965195,0.999023,0.033828
133,353,0.964265,0.998047,0.033782
134,1170,0.963383,0.997070,0.033687
135,529,0.965029,0.998047,0.033018
136,1075,0.964067,0.997070,0.033004
137,997,0.966526,0.998047,0.031521
138,326,0.968102,0.999023,0.030921
139,1088,0.968710,0.999023,0.030314
140,974,0.968761,0.999023,0.030263
141,1074,0.967083,0.997070,0.029988
142,1022,0.967374,0.997070,0.029697
143,1071,0.968595,0.998047,0.029452
144,1020,0.969813,0.999023,0.029210
145,516,0.969105,0.998047,0.028942
146,1039,0.970276,0.999023,0.028747
147,670,0.969305,0.998047,0.028742
148,961,0.971851,0.999023,0.027172
149,1041,0.972098,0.999023,0.026925
150,642,0.971919,0.998047,0.026128
151,1128,0.973129,0.999023,0.025895
152,1003,0.973720,0.999023,0.025304
153,654,0.975501,0.999023,0.023523
154,1097,0.974981,0.998047,0.023066
155,1184,0.976251,0.999023,0.022772
156,1153,0.976548,0.999023,0.022476
157,1064,0.976657,0.999023,0.022367
158,1333,0.977795,0.999023,0.021228
159,282,0.977892,0.999023,0.021132
160,148,0.974076,0.995117,0.021041
161,1095,0.978691,0.999023,0.020332
162,1261,0.977924,0.998047,0.020123
163,405,0.979056,0.999023,0.019968
164,373,0.979083,0.999023,0.019940
165,659,0.979350,0.999023,0.019673
