Rank,Sample_Index,y_keras,y_hls,abs_delta
1,651,0.343335,0.449219,0.105883
2,555,0.431917,0.530273,0.098357
3,1317,0.433640,0.530273,0.096633
4,1100,0.493749,0.577148,0.083399
5,967,0.624271,0.705078,0.080807
6,1114,0.450051,0.526367,0.076316
7,1080,0.700116,0.774414,0.074298
8,1010,0.649204,0.721680,0.072476
9,1076,0.613093,0.685547,0.072454
10,1007,0.291231,0.362305,0.071073
11,580,0.688860,0.759766,0.070905
12,366,0.762560,0.831055,0.068494
13,354,0.700349,0.768555,0.068205
14,618,0.337382,0.403320,0.065938
15,1006,0.748926,0.814453,0.065527
16,1224,0.695411,0.756836,0.061425
17,650,0.718955,0.779297,0.060342
18,1112,0.747747,0.807617,0.059871
19,943,0.424747,0.484375,0.059628
20,1165,0.772717,0.831055,0.058337
21,74,0.524224,0.581055,0.056831
22,484,0.168075,0.222656,0.054581
23,1310,0.682507,0.736328,0.053821
24,173,0.234275,0.287109,0.052835
25,1101,0.702253,0.754883,0.052630
26,350,0.811305,0.863281,0.051976
27,1060,0.763881,0.814453,0.050572
28,530,0.399053,0.449219,0.050165
29,1149,0.816473,0.866211,0.049738
30,44,0.806407,0.855469,0.049062
31,1025,0.746070,0.794922,0.048851
32,36,0.502098,0.549805,0.047706
33,1315,0.803424,0.849609,0.046185
34,1023,0.841677,0.883789,0.042112
35,528,0.837727,0.878906,0.041180
36,1068,0.797739,0.838867,0.041128
37,634,0.846142,0.886719,0.040577
38,421,0.789339,0.828125,0.038786
39,1016,0.838573,0.876953,0.038380
40,147,0.109876,0.147461,0.037585
41,695,0.865183,0.902344,0.037161
42,635,0.835244,0.872070,0.036826
43,1072,0.855068,0.891602,0.036534
44,988,0.866018,0.901367,0.035349
45,1001,0.840090,0.875000,0.034910
46,601,0.859726,0.894531,0.034805
47,1102,0.835465,0.870117,0.034653
48,168,0.720704,0.754883,0.034179
49,556,0.899788,0.933594,0.033805
50,1004,0.883361,0.916992,0.033631
51,21,0.196866,0.230469,0.033603
52,984,0.885018,0.917969,0.032950
53,564,0.900091,0.930664,0.030573
54,1118,0.895743,0.925781,0.030038
55,517,0.859624,0.888672,0.029048
56,566,0.817187,0.845703,0.028516
57,968,0.912892,0.941406,0.028514
58,14,0.142789,0.170898,0.028109
59,982,0.898742,0.926758,0.028016
60,1082,0.895043,0.922852,0.027808
61,1206,0.905833,0.933594,0.027761
62,399,0.919072,0.946289,0.027218
63,1029,0.901584,0.927734,0.026150
64,1070,0.882325,0.908203,0.025878
65,1135,0.921622,0.945312,0.023691
66,45,0.866196,0.888672,0.022476
67,834,0.915279,0.937500,0.022221
68,494,0.925126,0.947266,0.022140
69,1110,0.920485,0.942383,0.021897
70,428,0.939169,0.960938,0.021769
71,1084,0.928254,0.949219,0.020965
