Rank,Sample_Index,y_keras,y_hls,abs_delta
1,121,0.625141,0.433594,0.191547
2,36,0.502098,0.366211,0.135887
3,109,0.569993,0.437500,0.132493
4,530,0.399053,0.277344,0.121710
5,74,0.524224,0.410156,0.114067
6,566,0.817187,0.708984,0.108202
7,943,0.424747,0.317383,0.107365
8,168,0.720704,0.614258,0.106446
9,1224,0.695411,0.595703,0.099708
10,1101,0.702253,0.607422,0.094831
11,967,0.624271,0.545898,0.078373
12,1001,0.840090,0.762695,0.077395
13,1114,0.450051,0.373047,0.077004
14,580,0.688860,0.614258,0.074603
15,1025,0.746070,0.674805,0.071266
16,1310,0.682507,0.611328,0.071179
17,517,0.859624,0.790039,0.069585
18,618,0.337382,0.268555,0.068827
19,421,0.789339,0.721680,0.067659
20,1076,0.613093,0.545898,0.067195
21,635,0.835244,0.768555,0.066690
22,21,0.196866,0.135742,0.061123
23,650,0.718955,0.658203,0.060752
24,1010,0.649204,0.588867,0.060337
25,1068,0.797739,0.739258,0.058482
26,1315,0.803424,0.746094,0.057330
27,354,0.700349,0.643555,0.056795
28,45,0.866196,0.809570,0.056626
29,1007,0.291231,0.236328,0.054903
30,1317,0.433640,0.380859,0.052781
31,350,0.811305,0.759766,0.051540
32,1102,0.835465,0.785156,0.050308
33,1080,0.700116,0.650391,0.049726
34,173,0.234275,0.184570,0.049705
35,1060,0.763881,0.717773,0.046107
36,1072,0.855068,0.809570,0.045498
37,146,0.911595,0.866211,0.045384
38,601,0.859726,0.814453,0.045273
39,14,0.142789,0.097656,0.045133
40,366,0.762560,0.717773,0.044787
41,1086,0.915650,0.872070,0.043579
42,1301,0.914100,0.872070,0.042029
43,1115,0.897183,0.855469,0.041714
44,201,0.938181,0.897461,0.040720
45,1100,0.493749,0.453125,0.040624
46,619,0.095130,0.055664,0.039466
47,1165,0.772717,0.733398,0.039319
48,1070,0.882325,0.843750,0.038575
49,634,0.846142,0.807617,0.038525
50,984,0.885018,0.847656,0.037362
51,1006,0.748926,0.711914,0.037012
52,716,0.928224,0.891602,0.036623
53,555,0.431917,0.395508,0.036409
54,1016,0.838573,0.802734,0.035839
55,1112,0.747747,0.711914,0.035833
56,528,0.837727,0.802734,0.034992
57,988,0.866018,0.831055,0.034963
58,1206,0.905833,0.872070,0.033763
59,1058,0.917527,0.883789,0.033738
60,1023,0.841677,0.809570,0.032107
61,695,0.865183,0.834961,0.030222
62,1061,0.946196,0.916016,0.030181
63,651,0.343335,0.313477,0.029859
64,94,0.938291,0.909180,0.029111
65,949,0.943012,0.914062,0.028950
66,1082,0.895043,0.866211,0.028832
67,147,0.109876,0.082031,0.027845
68,942,0.939499,0.912109,0.027390
69,44,0.806407,0.779297,0.027110
70,1103,0.939780,0.913086,0.026694
71,484,0.168075,0.141602,0.026473
72,86,0.958987,0.932617,0.026370
73,972,0.955323,0.929688,0.025636
74,1078,0.934622,0.909180,0.025443
75,27,0.081418,0.056641,0.024777
76,1160,0.935050,0.913086,0.021964
77,982,0.898742,0.876953,0.021788
78,1118,0.895743,0.874023,0.021720
79,1029,0.901584,0.879883,0.021701
80,1149,0.816473,0.794922,0.021551
81,997,0.966526,0.945312,0.021213
82,1084,0.928254,0.907227,0.021028
83,834,0.915279,0.894531,0.020748
84,1309,0.046358,0.026367,0.019991
85,1113,0.951473,0.931641,0.019833
86,198,0.954346,0.934570,0.019776
87,1073,0.958000,0.938477,0.019523
88,1004,0.883361,0.864258,0.019103
89,1116,0.947735,0.928711,0.019024
90,1009,0.940566,0.921875,0.018691
91,1259,0.953944,0.935547,0.018397
92,968,0.912892,0.894531,0.018361
93,564,0.900091,0.881836,0.018255
94,148,0.974076,0.956055,0.018021
95,375,0.951116,0.933594,0.017522
96,1132,0.944258,0.927734,0.016523
97,149,0.936338,0.919922,0.016416
98,1104,0.945088,0.928711,0.016377
99,368,0.038814,0.022461,0.016354
100,1110,0.920485,0.904297,0.016188
101,516,0.969105,0.953125,0.015980
102,629,0.961242,0.945312,0.015930
103,1143,0.951392,0.935547,0.015845
104,1156,0.946293,0.930664,0.015629
105,491,0.959892,0.944336,0.015556
106,558,0.949723,0.934570,0.015153
107,1063,0.949599,0.934570,0.015029
108,642,0.971919,0.957031,0.014888
109,582,0.941516,0.926758,0.014758
110,1005,0.948342,0.933594,0.014748
111,1167,0.937428,0.922852,0.014576
112,1337,0.040949,0.027344,0.013605
113,1071,0.968595,0.955078,0.013517
114,1226,0.982853,0.969727,0.013126
115,556,0.899788,0.886719,0.013070
116,496,0.043331,0.030273,0.013057
117,15,0.051112,0.038086,0.013026
118,1074,0.967083,0.954102,0.012981
119,65,0.050883,0.038086,0.012797
120,1022,0.967374,0.955078,0.012296
121,1170,0.963383,0.951172,0.012211
122,494,0.925126,0.913086,0.012040
123,529,0.965029,0.953125,0.011904
124,1127,0.933679,0.921875,0.011804
125,670,0.969305,0.958008,0.011297
126,353,0.964265,0.953125,0.011140
127,326,0.968102,0.957031,0.011071
128,118,0.984635,0.973633,0.011002
129,399,0.919072,0.908203,0.010868
130,1064,0.976657,0.965820,0.010836
131,1003,0.973720,0.962891,0.010829
132,1105,0.953174,0.942383,0.010791
133,1135,0.921622,0.911133,0.010489
134,1335,0.035599,0.025391,0.010208
135,1261,0.977924,0.967773,0.010151
136,282,0.977892,0.967773,0.010118
137,1157,0.965147,0.955078,0.010069
138,1075,0.964067,0.954102,0.009965
139,981,0.964604,0.955078,0.009526
140,881,0.965195,0.956055,0.009141
141,1020,0.969813,0.960938,0.008876
142,974,0.968761,0.959961,0.008800
143,648,0.961795,0.953125,0.008670
144,811,0.958831,0.950195,0.008636
145,970,0.986877,0.978516,0.008361
146,1097,0.974981,0.966797,0.008184
147,1333,0.977795,0.969727,0.008069
148,1000,0.979531,0.971680,0.007852
149,659,0.979350,0.971680,0.007671
150,428,0.939169,0.931641,0.007528
151,1099,0.957714,0.950195,0.007519
152,572,0.981099,0.973633,0.007466
153,1172,0.980088,0.972656,0.007432
154,1128,0.973129,0.965820,0.007308
155,961,0.971851,0.964844,0.007007
156,1298,0.995159,0.988281,0.006877
157,1153,0.976548,0.969727,0.006821
158,1297,0.000036,0.006836,0.006800
159,1088,0.968710,0.961914,0.006796
160,1057,0.985248,0.978516,0.006732
161,316,0.984212,0.977539,0.006673
162,574,0.983145,0.976562,0.006583
163,405,0.979056,0.972656,0.006400
164,1050,0.984902,0.978516,0.006386
165,1041,0.972098,0.965820,0.006278
166,954,0.987542,0.981445,0.006097
167,965,0.990464,0.984375,0.006089
168,921,0.982625,0.976562,0.006062
169,595,0.989452,0.983398,0.006054
170,654,0.975501,0.969727,0.005774
171,1092,0.989045,0.983398,0.005646
