Rank,Sample_Index,y_keras,y_hls,abs_delta
1,121,0.625141,0.407227,0.217915
2,36,0.502098,0.333984,0.168114
3,109,0.569993,0.407227,0.162767
4,530,0.399053,0.244141,0.154913
5,74,0.524224,0.376953,0.147270
6,943,0.424747,0.281250,0.143497
7,566,0.817187,0.678711,0.138476
8,1224,0.695411,0.561523,0.133888
9,168,0.720704,0.591797,0.128907
10,580,0.688860,0.561523,0.127337
11,1101,0.702253,0.577148,0.125104
12,967,0.624271,0.500000,0.124271
13,1310,0.682507,0.561523,0.120984
14,1114,0.450051,0.333984,0.116067
15,1076,0.613093,0.500000,0.113093
16,650,0.718955,0.607422,0.111533
17,421,0.789339,0.678711,0.110628
18,1001,0.840090,0.730469,0.109621
19,1025,0.746070,0.636719,0.109352
20,354,0.700349,0.591797,0.108552
21,1080,0.700116,0.591797,0.108319
22,618,0.337382,0.233398,0.103984
23,1010,0.649204,0.545898,0.103305
24,1100,0.493749,0.391602,0.102148
25,1317,0.433640,0.333984,0.099656
26,1315,0.803424,0.705078,0.098346
27,555,0.431917,0.333984,0.097932
28,366,0.762560,0.665039,0.097521
29,1165,0.772717,0.678711,0.094006
30,517,0.859624,0.765625,0.093999
31,350,0.811305,0.717773,0.093532
32,1068,0.797739,0.705078,0.092661
33,635,0.835244,0.743164,0.092080
34,1007,0.291231,0.201172,0.090060
35,1060,0.763881,0.678711,0.085170
36,1006,0.748926,0.665039,0.083887
37,601,0.859726,0.776367,0.083359
38,1112,0.747747,0.665039,0.082708
39,1102,0.835465,0.754883,0.080582
40,634,0.846142,0.765625,0.080517
41,45,0.866196,0.787109,0.079087
42,173,0.234275,0.155273,0.079001
43,1072,0.855068,0.776367,0.078701
44,21,0.196866,0.119141,0.077725
45,1023,0.841677,0.765625,0.076052
46,44,0.806407,0.730469,0.075938
47,651,0.343335,0.268555,0.074781
48,1016,0.838573,0.765625,0.072948
49,528,0.837727,0.765625,0.072102
50,988,0.866018,0.797852,0.068167
51,984,0.885018,0.817383,0.067635
52,14,0.142789,0.080078,0.062711
53,1301,0.914100,0.851562,0.062537
54,1115,0.897183,0.834961,0.062222
55,1206,0.905833,0.843750,0.062083
56,1149,0.816473,0.754883,0.061590
57,146,0.911595,0.851562,0.060032
58,1058,0.917527,0.859375,0.058152
59,695,0.865183,0.807617,0.057566
60,1086,0.915650,0.859375,0.056275
61,1070,0.882325,0.826172,0.056154
62,484,0.168075,0.112305,0.055770
63,982,0.898742,0.843750,0.054992
64,716,0.928224,0.874023,0.054201
65,201,0.938181,0.886719,0.051463
66,1082,0.895043,0.843750,0.051293
67,564,0.900091,0.851562,0.048528
68,1004,0.883361,0.834961,0.048400
69,619,0.095130,0.046875,0.048255
70,94,0.938291,0.892578,0.045712
71,949,0.943012,0.898438,0.044575
72,1118,0.895743,0.851562,0.044181
73,147,0.109876,0.067383,0.042493
74,1029,0.901584,0.859375,0.042209
75,1078,0.934622,0.892578,0.042044
76,1061,0.946196,0.904297,0.041900
77,1084,0.928254,0.886719,0.041535
78,1103,0.939780,0.898438,0.041342
79,972,0.955323,0.914062,0.041261
80,834,0.915279,0.874023,0.041255
81,942,0.939499,0.898438,0.041062
82,1110,0.920485,0.879883,0.040603
83,556,0.899788,0.859375,0.040413
84,968,0.912892,0.874023,0.038869
85,1160,0.935050,0.898438,0.036612
86,1009,0.940566,0.904297,0.036269
87,86,0.958987,0.923828,0.035159
88,1259,0.953944,0.918945,0.034999
89,1135,0.921622,0.886719,0.034903
90,27,0.081418,0.046875,0.034543
91,494,0.925126,0.892578,0.032548
92,1113,0.951473,0.918945,0.032528
93,399,0.919072,0.886719,0.032353
94,582,0.941516,0.909180,0.032336
95,1156,0.946293,0.914062,0.032231
96,375,0.951116,0.918945,0.032171
97,149,0.936338,0.904297,0.032041
