Rank,Sample_Index,y_keras,y_hls,abs_delta
1,555,0.431917,0.488281,0.056365
2,651,0.343335,0.395508,0.052172
3,1317,0.433640,0.484375,0.050735
4,1100,0.493749,0.538086,0.044337
5,967,0.624271,0.665039,0.040768
6,1080,0.700116,0.739258,0.039142
7,1114,0.450051,0.488281,0.038230
8,1076,0.613093,0.650391,0.037297
9,1010,0.649204,0.685547,0.036343
10,354,0.700349,0.736328,0.035979
11,1007,0.291231,0.327148,0.035917
12,580,0.688860,0.724609,0.035749
13,366,0.762560,0.797852,0.035291
14,1006,0.748926,0.782227,0.033301
15,650,0.718955,0.751953,0.032998
16,618,0.337382,0.370117,0.032735
17,1112,0.747747,0.779297,0.031550
18,1165,0.772717,0.802734,0.030017
19,1310,0.682507,0.711914,0.029407
20,1224,0.695411,0.724609,0.029198
21,943,0.424747,0.453125,0.028378
22,1149,0.816473,0.843750,0.027277
23,44,0.806407,0.833008,0.026601
24,484,0.168075,0.194336,0.026261
25,1060,0.763881,0.790039,0.026158
26,350,0.811305,0.836914,0.025609
27,74,0.524224,0.549805,0.025581
28,173,0.234275,0.259766,0.025491
29,1025,0.746070,0.771484,0.025414
30,1101,0.702253,0.727539,0.025286
31,530,0.399053,0.421875,0.022822
32,1315,0.803424,0.826172,0.022748
33,1023,0.841677,0.864258,0.022580
34,634,0.846142,0.868164,0.022022
35,528,0.837727,0.859375,0.021648
36,1068,0.797739,0.819336,0.021597
37,1016,0.838573,0.859375,0.020802
38,988,0.866018,0.886719,0.020701
39,36,0.502098,0.522461,0.020363
40,421,0.789339,0.809570,0.020232
41,1001,0.840090,0.859375,0.019285
42,601,0.859726,0.878906,0.019180
43,556,0.899788,0.918945,0.019157
44,1072,0.855068,0.874023,0.018956
45,695,0.865183,0.883789,0.018606
46,635,0.835244,0.853516,0.018271
47,1102,0.835465,0.853516,0.018051
48,1004,0.883361,0.901367,0.018006
49,984,0.885018,0.902344,0.017325
50,147,0.109876,0.126953,0.017077
51,564,0.900091,0.916992,0.016901
52,1082,0.895043,0.911133,0.016090
53,168,0.720704,0.736328,0.015624
54,1118,0.895743,0.911133,0.015390
55,982,0.898742,0.914062,0.015321
56,21,0.196866,0.211914,0.015048
57,968,0.912892,0.927734,0.014842
58,399,0.919072,0.933594,0.014522
59,1029,0.901584,0.916016,0.014432
60,1206,0.905833,0.919922,0.014089
61,566,0.817187,0.831055,0.013868
62,1070,0.882325,0.895508,0.013182
63,1135,0.921622,0.934570,0.012949
64,14,0.142789,0.155273,0.012484
65,517,0.859624,0.872070,0.012446
66,1110,0.920485,0.932617,0.012132
67,428,0.939169,0.951172,0.012003
68,1297,0.000036,0.011719,0.011683
69,834,0.915279,0.926758,0.011479
70,494,0.925126,0.936523,0.011397
71,1084,0.928254,0.939453,0.011199
72,1058,0.917527,0.928711,0.011184
73,1115,0.897183,0.908203,0.011020
74,45,0.866196,0.876953,0.010757
75,1127,0.933679,0.944336,0.010657
76,1301,0.914100,0.923828,0.009728
77,94,0.938291,0.947266,0.008975
