Rank,Sample_Index,y_keras,y_hls,abs_delta
1,651,0.343335,0.437500,0.094165
2,555,0.431917,0.514648,0.082732
3,1317,0.433640,0.514648,0.081008
4,967,0.624271,0.692383,0.068112
5,1100,0.493749,0.561523,0.067774
6,1080,0.700116,0.765625,0.065509
7,1114,0.450051,0.514648,0.064597
8,1006,0.748926,0.807617,0.058691
9,1007,0.291231,0.348633,0.057401
10,1010,0.649204,0.705078,0.055874
11,366,0.762560,0.817383,0.054823
12,354,0.700349,0.754883,0.054533
13,580,0.688860,0.743164,0.054304
14,618,0.337382,0.391602,0.054220
15,1076,0.613093,0.665039,0.051946
16,1112,0.747747,0.797852,0.050105
17,1310,0.682507,0.730469,0.047961
18,1224,0.695411,0.743164,0.047753
19,173,0.234275,0.281250,0.046975
20,650,0.718955,0.765625,0.046670
21,44,0.806407,0.851562,0.045156
22,1165,0.772717,0.817383,0.044666
23,943,0.424747,0.468750,0.044003
24,484,0.168075,0.211914,0.043839
25,1060,0.763881,0.807617,0.043736
26,1149,0.816473,0.859375,0.042902
27,1025,0.746070,0.787109,0.041039
28,1101,0.702253,0.743164,0.040911
29,1315,0.803424,0.843750,0.040326
30,350,0.811305,0.851562,0.040257
31,530,0.399053,0.437500,0.038447
32,74,0.524224,0.561523,0.037300
33,1068,0.797739,0.834961,0.037222
34,528,0.837727,0.874023,0.036297
35,1016,0.838573,0.874023,0.035451
36,634,0.846142,0.879883,0.033741
37,695,0.865183,0.898438,0.033254
38,988,0.866018,0.898438,0.032419
39,1023,0.841677,0.874023,0.032346
40,1072,0.855068,0.886719,0.031651
41,635,0.835244,0.866211,0.030967
42,1102,0.835465,0.866211,0.030746
43,147,0.109876,0.139648,0.029772
44,984,0.885018,0.914062,0.029044
45,36,0.502098,0.530273,0.028175
46,421,0.789339,0.817383,0.028044
47,556,0.899788,0.927734,0.027946
48,564,0.900091,0.927734,0.027643
49,601,0.859726,0.886719,0.026992
50,1001,0.840090,0.866211,0.026121
51,1004,0.883361,0.909180,0.025819
52,21,0.196866,0.222656,0.025791
53,982,0.898742,0.923828,0.025087
54,1082,0.895043,0.918945,0.023902
55,399,0.919072,0.942383,0.023311
56,1118,0.895743,0.918945,0.023202
57,968,0.912892,0.935547,0.022655
58,168,0.720704,0.743164,0.022460
59,1029,0.901584,0.923828,0.022244
60,1070,0.882325,0.904297,0.021971
61,1206,0.905833,0.927734,0.021901
62,14,0.142789,0.164062,0.021273
63,494,0.925126,0.946289,0.021163
64,1135,0.921622,0.942383,0.020761
65,834,0.915279,0.935547,0.020268
66,517,0.859624,0.879883,0.020259
67,1110,0.920485,0.939453,0.018968
68,1084,0.928254,0.946289,0.018035
69,1058,0.917527,0.935547,0.018020
70,428,0.939169,0.957031,0.017862
71,566,0.817187,0.834961,0.017774
72,1301,0.914100,0.931641,0.017541
73,1115,0.897183,0.914062,0.016880
74,1127,0.933679,0.949219,0.015540
75,582,0.941516,0.957031,0.015516
76,1167,0.937428,0.952148,0.014721
77,1160,0.935050,0.949219,0.014169
78,94,0.938291,0.952148,0.013858
79,45,0.866196,0.879883,0.013687
80,1005,0.948342,0.961914,0.013572
81,27,0.081418,0.094727,0.013309
82,149,0.936338,0.949219,0.012881
83,1132,0.944258,0.957031,0.012774
84,65,0.050883,0.063477,0.012593
85,146,0.911595,0.923828,0.012233
86,1086,0.915650,0.927734,0.012085
87,949,0.943012,0.955078,0.012066
88,1297,0.000036,0.011719,0.011683
89,1105,0.953174,0.964844,0.011670
90,1078,0.934622,0.946289,0.011667
91,1009,0.940566,0.952148,0.011582
92,619,0.095130,0.106445,0.011315
93,716,0.928224,0.939453,0.011229
94,201,0.938181,0.949219,0.011037
95,1099,0.957714,0.968750,0.011036
96,1259,0.953944,0.964844,0.010900
97,811,0.958831,0.969727,0.010895
98,375,0.951116,0.961914,0.010798
99,1156,0.946293,0.957031,0.010738
100,1143,0.951392,0.961914,0.010522
101,1113,0.951473,0.961914,0.010441
102,1063,0.949599,0.959961,0.010362
103,807,0.963331,0.973633,0.010302
104,558,0.949723,0.959961,0.010238
105,1104,0.945088,0.955078,0.009990
106,648,0.961795,0.971680,0.009884
107,942,0.939499,0.949219,0.009719
108,972,0.955323,0.964844,0.009521
109,1103,0.939780,0.949219,0.009439
110,496,0.043331,0.052734,0.009403
111,1116,0.947735,0.957031,0.009296
112,981,0.964604,0.973633,0.009029
113,1061,0.946196,0.955078,0.008882
114,491,0.959892,0.968750,0.008858
115,1337,0.040949,0.049805,0.008856
116,1073,0.958000,0.966797,0.008797
117,1157,0.965147,0.973633,0.008486
118,629,0.961242,0.969727,0.008484
119,109,0.569993,0.561523,0.008470
120,326,0.968102,0.976562,0.008460
121,15,0.051112,0.059570,0.008459
122,881,0.965195,0.973633,0.008437
123,1335,0.035599,0.043945,0.008347
124,368,0.038814,0.046875,0.008061
125,1088,0.968710,0.976562,0.007853
126,974,0.968761,0.976562,0.007802
127,1020,0.969813,0.977539,0.007726
128,961,0.971851,0.979492,0.007641
129,1075,0.964067,0.971680,0.007613
130,198,0.954346,0.961914,0.007568
131,353,0.964265,0.971680,0.007415
132,1041,0.972098,0.979492,0.007394
133,1039,0.970276,0.977539,0.007263
134,670,0.969305,0.976562,0.007258
135,529,0.965029,0.971680,0.006651
136,1309,0.046358,0.052734,0.006376
137,1128,0.973129,0.979492,0.006364
138,1170,0.963383,0.969727,0.006343
139,373,0.979083,0.985352,0.006269
140,1022,0.967374,0.973633,0.006259
141,1184,0.976251,0.982422,0.006170
142,1071,0.968595,0.974609,0.006014
143,654,0.975501,0.981445,0.005945
144,86,0.958987,0.964844,0.005857
145,1003,0.973720,0.979492,0.005772
146,1125,0.979634,0.985352,0.005718
147,642,0.971919,0.977539,0.005620
148,516,0.969105,0.974609,0.005504
149,1097,0.974981,0.980469,0.005487
150,405,0.979056,0.984375,0.005319
151,997,0.966526,0.971680,0.005154
152,1153,0.976548,0.981445,0.004897
153,671,0.982416,0.987305,0.004889
154,1000,0.979531,0.984375,0.004844
155,1130,0.982478,0.987305,0.004827
156,1064,0.976657,0.981445,0.004789
157,1187,0.982585,0.987305,0.004720
158,1095,0.978691,0.983398,0.004707
159,1333,0.977795,0.982422,0.004627
160,1074,0.967083,0.971680,0.004597
161,525,0.979881,0.984375,0.004494
162,1051,0.982047,0.986328,0.004281
163,572,0.981099,0.985352,0.004252
164,24,0.013346,0.017578,0.004233
165,574,0.983145,0.987305,0.004160
166,316,0.984212,0.988281,0.004069
167,511,0.985215,0.989258,0.004043
168,921,0.982625,0.986328,0.003703
169,661,0.983610,0.987305,0.003695
170,717,0.985565,0.989258,0.003693
171,282,0.977892,0.981445,0.003554
172,1261,0.977924,0.981445,0.003521
173,340,0.985743,0.989258,0.003515
174,510,0.986778,0.990234,0.003456
175,1050,0.984902,0.988281,0.003379
176,537,0.984945,0.988281,0.003337
177,978,0.987889,0.991211,0.003322
178,1172,0.980088,0.983398,0.003310
179,568,0.985961,0.989258,0.003297
180,29,0.019171,0.022461,0.003290
181,1059,0.985114,0.988281,0.003168
182,762,0.988056,0.991211,0.003155
183,659,0.979350,0.982422,0.003072
184,121,0.625141,0.622070,0.003071
185,590,0.989186,0.992188,0.003001
186,1083,0.987358,0.990234,0.002876
187,232,0.988407,0.991211,0.002804
188,561,0.986521,0.989258,0.002737
189,538,0.989459,0.992188,0.002728
190,954,0.987542,0.990234,0.002693
191,1018,0.989685,0.992188,0.002502
192,390,0.990676,0.993164,0.002488
193,148,0.974076,0.976562,0.002487
194,1047,0.989714,0.992188,0.002474
195,986,0.986788,0.989258,0.002470
196,970,0.986877,0.989258,0.002381
197,570,0.986899,0.989258,0.002359
198,656,0.988959,0.991211,0.002252
