Rank,Sample_Index,y_keras,y_hls,abs_delta
1,651,0.343335,0.650391,0.307055
2,555,0.431917,0.714844,0.282927
3,1317,0.433640,0.702148,0.268508
4,1007,0.291231,0.526367,0.235136
5,1114,0.450051,0.681641,0.231590
6,1100,0.493749,0.724609,0.230860
7,967,0.624271,0.838867,0.214596
8,618,0.337382,0.545898,0.208516
9,943,0.424747,0.614258,0.189510
10,1080,0.700116,0.888672,0.188556
11,484,0.168075,0.355469,0.187394
12,1076,0.613093,0.797852,0.184758
13,1010,0.649204,0.824219,0.175015
14,354,0.700349,0.875000,0.174651
15,74,0.524224,0.695312,0.171089
16,530,0.399053,0.569336,0.170282
17,580,0.688860,0.853516,0.164655
18,36,0.502098,0.665039,0.162941
19,1224,0.695411,0.857422,0.162011
20,366,0.762560,0.923828,0.161268
21,650,0.718955,0.872070,0.153115
22,1310,0.682507,0.831055,0.148547
23,1112,0.747747,0.895508,0.147761
24,173,0.234275,0.380859,0.146585
25,1006,0.748926,0.895508,0.146582
26,147,0.109876,0.255859,0.145983
27,1165,0.772717,0.911133,0.138416
28,1025,0.746070,0.881836,0.135766
29,1101,0.702253,0.834961,0.132708
30,1060,0.763881,0.886719,0.122838
31,1149,0.816473,0.936523,0.120051
32,44,0.806407,0.924805,0.118398
33,350,0.811305,0.924805,0.113500
34,1068,0.797739,0.908203,0.110464
35,1315,0.803424,0.913086,0.109662
36,21,0.196866,0.303711,0.106845
37,168,0.720704,0.824219,0.103515
38,421,0.789339,0.892578,0.103240
39,634,0.846142,0.942383,0.096241
40,528,0.837727,0.933594,0.095867
41,1023,0.841677,0.936523,0.094846
42,1016,0.838573,0.930664,0.092091
43,695,0.865183,0.954102,0.088918
44,1072,0.855068,0.943359,0.088292
45,14,0.142789,0.230469,0.087679
46,1001,0.840090,0.927734,0.087644
47,601,0.859726,0.947266,0.087539
48,988,0.866018,0.953125,0.087107
49,635,0.835244,0.921875,0.086631
50,1102,0.835465,0.919922,0.084457
51,566,0.817187,0.900391,0.083204
52,517,0.859624,0.936523,0.076899
53,984,0.885018,0.960938,0.075919
54,27,0.081418,0.157227,0.075809
55,1004,0.883361,0.957031,0.073670
56,556,0.899788,0.972656,0.072868
57,619,0.095130,0.167969,0.072839
58,564,0.900091,0.966797,0.066706
59,1118,0.895743,0.959961,0.064218
60,982,0.898742,0.962891,0.064149
61,1206,0.905833,0.969727,0.063894
62,121,0.625141,0.688477,0.063335
63,1082,0.895043,0.958008,0.062965
64,109,0.569993,0.632812,0.062819
65,1029,0.901584,0.963867,0.062283
66,968,0.912892,0.972656,0.059764
67,1070,0.882325,0.941406,0.059081
68,45,0.866196,0.924805,0.058608
69,399,0.919072,0.975586,0.056514
70,1115,0.897183,0.953125,0.055942
