Rank,Sample_Index,y_keras,y_hls,abs_delta
1,109,0.569993,0.549805,0.020189
2,555,0.431917,0.449219,0.017302
3,1317,0.433640,0.449219,0.015578
4,651,0.343335,0.358398,0.015063
5,1100,0.493749,0.506836,0.013087
6,967,0.624271,0.636719,0.012447
7,366,0.762560,0.774414,0.011854
8,1080,0.700116,0.711914,0.011798
9,618,0.337382,0.348633,0.011251
10,1114,0.450051,0.460938,0.010887
11,1006,0.748926,0.759766,0.010840
12,1297,0.000036,0.010742,0.010706
13,580,0.688860,0.699219,0.010358
14,1165,0.772717,0.782227,0.009509
15,1112,0.747747,0.756836,0.009089
16,1010,0.649204,0.658203,0.008999
17,1076,0.613093,0.622070,0.008977
18,354,0.700349,0.708984,0.008635
19,650,0.718955,0.727539,0.008584
20,1007,0.291231,0.299805,0.008573
21,44,0.806407,0.814453,0.008046
22,350,0.811305,0.819336,0.008031
23,173,0.234275,0.242188,0.007913
24,1149,0.816473,0.824219,0.007746
25,1060,0.763881,0.771484,0.007604
26,1224,0.695411,0.702148,0.006737
27,1101,0.702253,0.708984,0.006732
28,484,0.168075,0.174805,0.006730
29,1315,0.803424,0.809570,0.006146
30,988,0.866018,0.872070,0.006052
31,74,0.524224,0.530273,0.006050
32,528,0.837727,0.843750,0.006023
33,1023,0.841677,0.847656,0.005979
34,1310,0.682507,0.688477,0.005969
35,1025,0.746070,0.751953,0.005883
36,1001,0.840090,0.845703,0.005613
37,421,0.789339,0.794922,0.005583
38,556,0.899788,0.905273,0.005485
39,634,0.846142,0.851562,0.005420
40,1004,0.883361,0.888672,0.005311
41,564,0.900091,0.905273,0.005183
42,1016,0.838573,0.843750,0.005177
43,968,0.912892,0.917969,0.005076
44,1068,0.797739,0.802734,0.004995
45,943,0.424747,0.429688,0.004940
46,695,0.865183,0.870117,0.004934
47,399,0.919072,0.923828,0.004757
48,36,0.502098,0.506836,0.004738
49,1118,0.895743,0.900391,0.004647
50,984,0.885018,0.889648,0.004630
51,601,0.859726,0.864258,0.004532
52,147,0.109876,0.114258,0.004382
53,1072,0.855068,0.859375,0.004307
54,530,0.399053,0.403320,0.004267
55,1135,0.921622,0.925781,0.004160
56,168,0.720704,0.724609,0.003905
57,1029,0.901584,0.905273,0.003689
58,834,0.915279,0.918945,0.003667
59,635,0.835244,0.838867,0.003623
60,982,0.898742,0.902344,0.003602
61,494,0.925126,0.928711,0.003585
62,1102,0.835465,0.838867,0.003403
63,1082,0.895043,0.898438,0.003394
64,1084,0.928254,0.931641,0.003387
65,1206,0.905833,0.909180,0.003347
66,1110,0.920485,0.923828,0.003343
67,428,0.939169,0.942383,0.003214
68,1115,0.897183,0.900391,0.003208
69,121,0.625141,0.622070,0.003071
70,1298,0.995159,0.992188,0.002971
71,1301,0.914100,0.916992,0.002892
72,1127,0.933679,0.936523,0.002845
73,582,0.941516,0.944336,0.002820
74,14,0.142789,0.145508,0.002719
75,1070,0.882325,0.884766,0.002440
76,1058,0.917527,0.919922,0.002395
77,21,0.196866,0.199219,0.002353
78,1104,0.945088,0.947266,0.002178
79,94,0.938291,0.940430,0.002139
80,1259,0.953944,0.956055,0.002111
81,811,0.958831,0.960938,0.002106
82,1132,0.944258,0.946289,0.002031
83,1167,0.937428,0.939453,0.002025
84,375,0.951116,0.953125,0.002009
85,45,0.866196,0.868164,0.001968
86,942,0.939499,0.941406,0.001907
87,1105,0.953174,0.955078,0.001904
88,1078,0.934622,0.936523,0.001901
89,1005,0.948342,0.950195,0.001854
90,1009,0.940566,0.942383,0.001817
91,961,0.971851,0.973633,0.001782
92,1143,0.951392,0.953125,0.001733
93,517,0.859624,0.861328,0.001704
94,1113,0.951473,0.953125,0.001652
95,1157,0.965147,0.966797,0.001650
96,1103,0.939780,0.941406,0.001627
97,326,0.968102,0.969727,0.001624
98,881,0.965195,0.966797,0.001601
99,1063,0.949599,0.951172,0.001572
100,353,0.964265,0.965820,0.001556
101,619,0.095130,0.096680,0.001550
102,1041,0.972098,0.973633,0.001534
