Rank,Sample_Index,y_keras,y_hls,abs_delta
1,24,0.013346,0.973633,0.960287
2,1335,0.035599,0.978516,0.942917
3,1337,0.040949,0.976562,0.935614
4,496,0.043331,0.964844,0.921513
5,368,0.038814,0.942383,0.903568
6,15,0.051112,0.952148,0.901037
7,65,0.050883,0.950195,0.899312
8,1297,0.000036,0.892578,0.892542
9,1320,0.003022,0.889648,0.886626
10,147,0.109876,0.996094,0.886217
11,27,0.081418,0.936523,0.855106
12,1309,0.046358,0.894531,0.848173
13,484,0.168075,0.993164,0.825089
14,14,0.142789,0.944336,0.801547
15,619,0.095130,0.892578,0.797448
16,1321,0.002463,0.785156,0.782693
17,29,0.019171,0.799805,0.780634
18,21,0.196866,0.974609,0.777744
19,173,0.234275,0.978516,0.744241
20,1307,0.015335,0.721680,0.706345
21,1007,0.291231,0.995117,0.703886
22,618,0.337382,0.993164,0.655782
23,651,0.343335,0.999023,0.655688
24,530,0.399053,0.976562,0.577509
25,943,0.424747,0.995117,0.570370
26,555,0.431917,0.999023,0.567107
27,1317,0.433640,0.998047,0.564407
28,1114,0.450051,0.997070,0.547019
29,1100,0.493749,0.998047,0.504298
30,36,0.502098,0.990234,0.488136
31,74,0.524224,0.997070,0.472847
32,1076,0.613093,0.997070,0.383977
33,109,0.569993,0.951172,0.381178
34,967,0.624271,0.999023,0.374752
35,31,0.000113,0.370117,0.370005
36,1010,0.649204,0.998047,0.348843
37,1310,0.682507,0.997070,0.314563
38,1322,0.000077,0.313477,0.313399
39,580,0.688860,0.999023,0.310163
40,121,0.625141,0.930664,0.305523
41,1224,0.695411,0.998047,0.302636
42,1080,0.700116,0.999023,0.298907
43,354,0.700349,0.999023,0.298674
44,1101,0.702253,0.998047,0.295794
45,650,0.718955,0.998047,0.279092
46,168,0.720704,0.988281,0.267577
47,1025,0.746070,0.999023,0.252953
48,1112,0.747747,0.999023,0.251277
49,1006,0.748926,0.999023,0.250098
50,366,0.762560,0.999023,0.236463
51,1060,0.763881,0.998047,0.234166
52,1165,0.772717,0.999023,0.226306
53,421,0.789339,0.998047,0.208708
54,1068,0.797739,0.999023,0.201284
55,1315,0.803424,0.999023,0.195599
56,44,0.806407,0.999023,0.192617
57,350,0.811305,0.999023,0.187718
58,1149,0.816473,0.999023,0.182551
59,566,0.817187,0.996094,0.178907
60,635,0.835244,0.999023,0.163779
