Rank,Sample_Index,y_keras,y_hls,abs_delta
1,651,0.343335,0.502930,0.159594
2,555,0.431917,0.584961,0.153044
3,1317,0.433640,0.573242,0.139602
4,1100,0.493749,0.622070,0.128321
5,1114,0.450051,0.573242,0.123191
6,967,0.624271,0.746094,0.121822
7,1007,0.291231,0.407227,0.115995
8,1076,0.613093,0.721680,0.108587
9,618,0.337382,0.445312,0.107931
10,1080,0.700116,0.807617,0.107501
11,1010,0.649204,0.754883,0.105679
12,580,0.688860,0.790039,0.101179
13,354,0.700349,0.799805,0.099455
14,484,0.168075,0.265625,0.097550
15,366,0.762560,0.859375,0.096815
16,650,0.718955,0.814453,0.095498
17,943,0.424747,0.518555,0.093807
18,1006,0.748926,0.841797,0.092871
19,74,0.524224,0.614258,0.090034
20,173,0.234275,0.324219,0.089944
21,1224,0.695411,0.785156,0.089745
22,1112,0.747747,0.834961,0.087214
23,530,0.399053,0.484375,0.085322
24,1165,0.772717,0.857422,0.084705
25,1310,0.682507,0.765625,0.083118
26,36,0.502098,0.584961,0.082863
27,1060,0.763881,0.838867,0.074986
28,1101,0.702253,0.776367,0.074115
29,44,0.806407,0.879883,0.073476
30,1025,0.746070,0.819336,0.073266
31,1149,0.816473,0.889648,0.073176
32,350,0.811305,0.881836,0.070531
33,147,0.109876,0.177734,0.067858
34,1315,0.803424,0.866211,0.062787
35,1068,0.797739,0.859375,0.061636
36,1023,0.841677,0.902344,0.060666
37,528,0.837727,0.897461,0.059734
38,634,0.846142,0.905273,0.059131
39,21,0.196866,0.255859,0.058994
40,421,0.789339,0.847656,0.058318
41,1016,0.838573,0.894531,0.055958
42,601,0.859726,0.913086,0.053360
43,988,0.866018,0.918945,0.052927
44,1072,0.855068,0.907227,0.052159
45,695,0.865183,0.916992,0.051809
46,14,0.142789,0.194336,0.051547
47,1001,0.840090,0.891602,0.051511
48,635,0.835244,0.886719,0.051474
49,1102,0.835465,0.886719,0.051254
50,168,0.720704,0.771484,0.050780
51,556,0.899788,0.947266,0.047477
52,984,0.885018,0.930664,0.045646
53,1004,0.883361,0.928711,0.045350
54,566,0.817187,0.861328,0.044141
55,564,0.900091,0.943359,0.043268
56,517,0.859624,0.900391,0.040767
57,982,0.898742,0.939453,0.040712
58,1082,0.895043,0.935547,0.040504
59,1118,0.895743,0.935547,0.039804
60,1206,0.905833,0.945312,0.039479
61,968,0.912892,0.951172,0.038280
62,399,0.919072,0.957031,0.037960
63,1029,0.901584,0.938477,0.036893
64,1070,0.882325,0.918945,0.036620
65,45,0.866196,0.900391,0.034194
66,27,0.081418,0.115234,0.033817
67,1135,0.921622,0.955078,0.033456
68,121,0.625141,0.658203,0.033062
69,1110,0.920485,0.953125,0.032640
70,494,0.925126,0.957031,0.031905
71,619,0.095130,0.126953,0.031823
72,834,0.915279,0.946289,0.031010
73,1115,0.897183,0.927734,0.030551
74,1058,0.917527,0.947266,0.029739
75,109,0.569993,0.599609,0.029616
76,428,0.939169,0.968750,0.029581
77,1084,0.928254,0.957031,0.028777
78,1301,0.914100,0.941406,0.027307
79,1127,0.933679,0.960938,0.027259
