Rank,Sample_Index,y_keras,y_hls,abs_delta
1,121,0.625141,0.530273,0.094868
2,109,0.569993,0.500000,0.069993
3,36,0.502098,0.437500,0.064598
4,74,0.524224,0.468750,0.055474
5,530,0.399053,0.348633,0.050421
6,943,0.424747,0.376953,0.047794
7,168,0.720704,0.678711,0.041993
8,566,0.817187,0.776367,0.040820
9,1101,0.702253,0.665039,0.037214
10,21,0.196866,0.164062,0.032803
11,1001,0.840090,0.807617,0.032473
12,1310,0.682507,0.650391,0.032117
13,618,0.337382,0.306641,0.030741
14,1224,0.695411,0.665039,0.030372
15,1025,0.746070,0.717773,0.028297
16,1114,0.450051,0.421875,0.028176
17,650,0.718955,0.692383,0.026572
18,517,0.859624,0.834961,0.024663
19,580,0.688860,0.665039,0.023821
20,421,0.789339,0.765625,0.023714
21,14,0.142789,0.119141,0.023649
22,1007,0.291231,0.268555,0.022677
23,45,0.866196,0.843750,0.022446
24,173,0.234275,0.211914,0.022361
25,354,0.700349,0.678711,0.021638
26,1068,0.797739,0.776367,0.021372
27,1076,0.613093,0.591797,0.021296
28,619,0.095130,0.075195,0.019935
29,1102,0.835465,0.817383,0.018082
30,635,0.835244,0.817383,0.017861
31,1115,0.897183,0.879883,0.017300
32,1086,0.915650,0.898438,0.017212
33,967,0.624271,0.607422,0.016849
34,1315,0.803424,0.787109,0.016315
35,601,0.859726,0.843750,0.015976
36,1301,0.914100,0.898438,0.015662
37,201,0.938181,0.923828,0.014353
38,716,0.928224,0.914062,0.014162
39,350,0.811305,0.797852,0.013454
40,1058,0.917527,0.904297,0.013230
41,146,0.911595,0.898438,0.013157
42,1010,0.649204,0.636719,0.012485
43,1016,0.838573,0.826172,0.012401
44,1103,0.939780,0.927734,0.012045
45,1317,0.433640,0.421875,0.011765
46,942,0.939499,0.927734,0.011765
47,528,0.837727,0.826172,0.011555
48,949,0.943012,0.931641,0.011372
49,1072,0.855068,0.843750,0.011318
50,634,0.846142,0.834961,0.011181
51,984,0.885018,0.874023,0.010995
52,1078,0.934622,0.923828,0.010794
53,1061,0.946196,0.935547,0.010650
54,27,0.081418,0.071289,0.010129
55,86,0.958987,0.949219,0.009768
56,1100,0.493749,0.484375,0.009374
57,147,0.109876,0.100586,0.009290
58,1309,0.046358,0.037109,0.009249
59,972,0.955323,0.946289,0.009034
60,1060,0.763881,0.754883,0.008998
61,1297,0.000036,0.008789,0.008753
62,368,0.038814,0.030273,0.008541
63,1082,0.895043,0.886719,0.008324
64,1070,0.882325,0.874023,0.008302
65,198,0.954346,0.946289,0.008057
66,1080,0.700116,0.692383,0.007733
67,366,0.762560,0.754883,0.007677
68,1206,0.905833,0.898438,0.007396
69,1160,0.935050,0.927734,0.007315
70,148,0.974076,0.966797,0.007279
71,15,0.051112,0.043945,0.007166
72,1165,0.772717,0.765625,0.007092
73,1156,0.946293,0.939453,0.006840
74,1337,0.040949,0.034180,0.006769
75,1023,0.841677,0.834961,0.006716
76,94,0.938291,0.931641,0.006650
77,988,0.866018,0.859375,0.006643
78,997,0.966526,0.959961,0.006565
79,1110,0.920485,0.914062,0.006423
80,496,0.043331,0.037109,0.006222
81,982,0.898742,0.892578,0.006163
82,834,0.915279,0.909180,0.006099
83,1073,0.958000,0.952148,0.005851
84,695,0.865183,0.859375,0.005808
85,1006,0.748926,0.743164,0.005762
86,1104,0.945088,0.939453,0.005635
87,555,0.431917,0.437500,0.005583
88,1116,0.947735,0.942383,0.005352
89,1335,0.035599,0.030273,0.005325
90,1226,0.982853,0.977539,0.005314
91,651,0.343335,0.348633,0.005297
92,1113,0.951473,0.946289,0.005184
93,1074,0.967083,0.961914,0.005168
94,1143,0.951392,0.946289,0.005103
95,1009,0.940566,0.935547,0.005019
96,1298,0.995159,0.990234,0.004924
97,375,0.951116,0.946289,0.004827
98,491,0.959892,0.955078,0.004814
99,1132,0.944258,0.939453,0.004805
100,1259,0.953944,0.949219,0.004725
101,149,0.936338,0.931641,0.004698
102,1112,0.747747,0.743164,0.004583
103,556,0.899788,0.904297,0.004509
104,1084,0.928254,0.923828,0.004426
105,516,0.969105,0.964844,0.004261
106,282,0.977892,0.973633,0.004259
107,629,0.961242,0.957031,0.004211
108,118,0.984635,0.980469,0.004166
109,484,0.168075,0.164062,0.004012
110,65,0.050883,0.046875,0.004008
111,1003,0.973720,0.969727,0.003993
112,1071,0.968595,0.964844,0.003751
113,968,0.912892,0.909180,0.003713
114,1004,0.883361,0.879883,0.003478
115,558,0.949723,0.946289,0.003434
116,1170,0.963383,0.959961,0.003422
117,1128,0.973129,0.969727,0.003402
118,1261,0.977924,0.974609,0.003315
119,1063,0.949599,0.946289,0.003310
120,1097,0.974981,0.971680,0.003302
121,881,0.965195,0.961914,0.003281
122,1157,0.965147,0.961914,0.003233
123,1333,0.977795,0.974609,0.003186
124,642,0.971919,0.968750,0.003169
125,1118,0.895743,0.892578,0.003165
126,1029,0.901584,0.898438,0.003146
127,529,0.965029,0.961914,0.003115
128,1064,0.976657,0.973633,0.003024
129,1000,0.979531,0.976562,0.002969
130,1057,0.985248,0.982422,0.002826
131,659,0.979350,0.976562,0.002788
132,316,0.984212,0.981445,0.002767
133,981,0.964604,0.961914,0.002690
134,1307,0.015335,0.012695,0.002639
135,29,0.019171,0.016602,0.002569
136,568,0.985961,0.983398,0.002562
137,1172,0.980088,0.977539,0.002549
138,1022,0.967374,0.964844,0.002530
139,670,0.969305,0.966797,0.002508
140,970,0.986877,0.984375,0.002502
141,1050,0.984902,0.982422,0.002480
142,1041,0.972098,0.969727,0.002372
143,353,0.964265,0.961914,0.002351
144,525,0.979881,0.977539,0.002341
145,1135,0.921622,0.923828,0.002206
146,954,0.987542,0.985352,0.002190
147,965,0.990464,0.988281,0.002182
148,921,0.982625,0.980469,0.002156
149,1075,0.964067,0.961914,0.002153
150,561,0.986521,0.984375,0.002146
151,961,0.971851,0.969727,0.002125
152,582,0.941516,0.939453,0.002063
153,1005,0.948342,0.946289,0.002053
154,1127,0.933679,0.931641,0.002038
155,1083,0.987358,0.985352,0.002007
156,974,0.968761,0.966797,0.001964
