Rank,Sample_Index,y_keras,y_hls,abs_delta
1,651,0.343335,0.569336,0.226001
2,555,0.431917,0.643555,0.211638
3,1317,0.433640,0.625977,0.192336
4,1297,0.000036,0.181641,0.181604
5,1100,0.493749,0.665039,0.171290
6,1114,0.450051,0.614258,0.164207
7,967,0.624271,0.787109,0.162838
8,1007,0.291231,0.449219,0.157987
9,618,0.337382,0.488281,0.150899
10,1076,0.613093,0.759766,0.146672
11,484,0.168075,0.313477,0.145402
12,1080,0.700116,0.841797,0.141681
13,1010,0.649204,0.790039,0.140835
14,943,0.424747,0.561523,0.136776
15,580,0.688860,0.824219,0.135358
16,354,0.700349,0.833008,0.132658
17,173,0.234275,0.366211,0.131936
18,650,0.718955,0.845703,0.126748
19,74,0.524224,0.650391,0.126167
20,366,0.762560,0.888672,0.126112
21,1224,0.695411,0.817383,0.121972
22,1006,0.748926,0.870117,0.121191
23,36,0.502098,0.618164,0.116066
24,530,0.399053,0.514648,0.115595
25,1112,0.747747,0.863281,0.115535
26,1310,0.682507,0.792969,0.110461
27,1165,0.772717,0.881836,0.109119
28,1101,0.702253,0.804688,0.102435
29,147,0.109876,0.211914,0.102038
30,1025,0.746070,0.845703,0.099633
31,1060,0.763881,0.861328,0.097447
32,44,0.806407,0.901367,0.094960
33,1149,0.816473,0.911133,0.094660
34,350,0.811305,0.904297,0.092992
35,21,0.196866,0.284180,0.087314
36,1315,0.803424,0.886719,0.083295
37,1068,0.797739,0.878906,0.081167
38,1023,0.841677,0.918945,0.077268
39,421,0.789339,0.866211,0.076872
40,634,0.846142,0.922852,0.076709
41,528,0.837727,0.914062,0.076336
42,1016,0.838573,0.912109,0.073536
43,14,0.142789,0.213867,0.071078
44,168,0.720704,0.790039,0.069335
45,635,0.835244,0.904297,0.069053
46,1102,0.835465,0.904297,0.068832
47,1072,0.855068,0.923828,0.068760
48,988,0.866018,0.934570,0.068552
49,695,0.865183,0.933594,0.068411
50,1001,0.840090,0.908203,0.068113
51,601,0.859726,0.926758,0.067032
52,556,0.899788,0.959961,0.060173
53,566,0.817187,0.876953,0.059766
54,984,0.885018,0.944336,0.059318
55,1004,0.883361,0.942383,0.059022
56,517,0.859624,0.916992,0.057368
57,564,0.900091,0.955078,0.054987
58,27,0.081418,0.134766,0.053348
59,1118,0.895743,0.948242,0.052499
60,1082,0.895043,0.947266,0.052222
61,982,0.898742,0.950195,0.051454
62,1206,0.905833,0.957031,0.051198
63,1070,0.882325,0.931641,0.049315
64,968,0.912892,0.961914,0.049022
65,399,0.919072,0.966797,0.047725
66,1029,0.901584,0.948242,0.046658
67,619,0.095130,0.141602,0.046472
68,45,0.866196,0.911133,0.044937
69,121,0.625141,0.667969,0.042828
70,834,0.915279,0.957031,0.041752
71,1115,0.897183,0.938477,0.041294
72,1135,0.921622,0.962891,0.041269
73,494,0.925126,0.965820,0.040694
74,1110,0.920485,0.960938,0.040452
75,65,0.050883,0.089844,0.038960
76,1058,0.917527,0.956055,0.038528
77,1084,0.928254,0.965820,0.037566
78,428,0.939169,0.976562,0.037394
79,1301,0.914100,0.950195,0.036096
80,1127,0.933679,0.968750,0.035071
81,15,0.051112,0.085938,0.034826
82,1337,0.040949,0.074219,0.033270
83,496,0.043331,0.076172,0.032841
84,1086,0.915650,0.948242,0.032593
85,582,0.941516,0.973633,0.032117
86,94,0.938291,0.969727,0.031436
87,1167,0.937428,0.968750,0.031322
88,146,0.911595,0.942383,0.030788
89,1335,0.035599,0.065430,0.029831
90,1160,0.935050,0.964844,0.029794
91,109,0.569993,0.599609,0.029616
92,368,0.038814,0.068359,0.029545
93,149,0.936338,0.965820,0.029482
94,1009,0.940566,0.969727,0.029160
95,1132,0.944258,0.971680,0.027422
96,1005,0.948342,0.975586,0.027244
97,1309,0.046358,0.073242,0.026884
98,716,0.928224,0.955078,0.026854
99,949,0.943012,0.969727,0.026714
100,201,0.938181,0.964844,0.026662
101,942,0.939499,0.965820,0.026321
102,1078,0.934622,0.960938,0.026315
103,375,0.951116,0.976562,0.025447
104,558,0.949723,0.974609,0.024886
105,1104,0.945088,0.969727,0.024639
106,1156,0.946293,0.970703,0.024410
107,1105,0.953174,0.977539,0.024365
108,1103,0.939780,0.963867,0.024087
109,1063,0.949599,0.972656,0.023057
110,1259,0.953944,0.976562,0.022618
111,1143,0.951392,0.973633,0.022241
112,1113,0.951473,0.973633,0.022159
113,1099,0.957714,0.979492,0.021778
114,1061,0.946196,0.967773,0.021577
115,972,0.955323,0.976562,0.021239
116,807,0.963331,0.984375,0.021044
117,1116,0.947735,0.968750,0.021015
118,811,0.958831,0.979492,0.020661
119,648,0.961795,0.982422,0.020626
120,491,0.959892,0.979492,0.019600
121,629,0.961242,0.980469,0.019227
122,981,0.964604,0.983398,0.018795
123,1073,0.958000,0.976562,0.018563
124,198,0.954346,0.972656,0.018310
125,1157,0.965147,0.983398,0.018251
126,881,0.965195,0.983398,0.018203
127,353,0.964265,0.982422,0.018157
128,326,0.968102,0.985352,0.017249
129,1039,0.970276,0.987305,0.017029
130,1088,0.968710,0.985352,0.016642
131,1020,0.969813,0.986328,0.016515
132,529,0.965029,0.981445,0.016416
133,1075,0.964067,0.980469,0.016402
134,1170,0.963383,0.979492,0.016109
135,24,0.013346,0.029297,0.015951
136,86,0.958987,0.974609,0.015622
137,974,0.968761,0.984375,0.015614
138,961,0.971851,0.987305,0.015454
139,1041,0.972098,0.987305,0.015206
140,1071,0.968595,0.983398,0.014803
141,1074,0.967083,0.981445,0.014363
142,670,0.969305,0.983398,0.014094
143,1022,0.967374,0.981445,0.014072
144,29,0.019171,0.033203,0.014032
145,997,0.966526,0.980469,0.013943
146,654,0.975501,0.989258,0.013757
147,1128,0.973129,0.986328,0.013200
148,1184,0.976251,0.989258,0.013006
149,1003,0.973720,0.986328,0.012608
150,642,0.971919,0.984375,0.012456
151,516,0.969105,0.981445,0.012340
152,373,0.979083,0.991211,0.012128
153,1095,0.978691,0.990234,0.011543
154,1097,0.974981,0.986328,0.011347
155,405,0.979056,0.990234,0.011179
156,1153,0.976548,0.987305,0.010757
157,1000,0.979531,0.990234,0.010703
158,1064,0.976657,0.987305,0.010648
159,1125,0.979634,0.990234,0.010601
160,1333,0.977795,0.988281,0.010486
161,282,0.977892,0.988281,0.010390
162,525,0.979881,0.990234,0.010354
163,1307,0.015335,0.025391,0.010056
164,671,0.982416,0.992188,0.009771
165,1187,0.982585,0.992188,0.009603
166,1261,0.977924,0.987305,0.009381
167,1172,0.980088,0.989258,0.009170
168,1051,0.982047,0.991211,0.009164
169,572,0.981099,0.990234,0.009135
170,659,0.979350,0.988281,0.008931
171,1130,0.982478,0.991211,0.008733
