Rank,Sample_Index,y_keras,y_hls,abs_delta
1,109,0.569993,0.545898,0.024095
2,1297,0.000036,0.010742,0.010706
3,121,0.625141,0.618164,0.006977
4,651,0.343335,0.348633,0.005297
5,1317,0.433640,0.437500,0.003860
6,530,0.399053,0.395508,0.003546
7,1114,0.450051,0.453125,0.003074
8,366,0.762560,0.765625,0.003065
9,1006,0.748926,0.751953,0.003027
10,1298,0.995159,0.992188,0.002971
11,168,0.720704,0.717773,0.002931
12,943,0.424747,0.421875,0.002872
13,566,0.817187,0.814453,0.002734
14,650,0.718955,0.721680,0.002725
15,1007,0.291231,0.293945,0.002714
16,1100,0.493749,0.496094,0.002345
17,517,0.859624,0.857422,0.002202
18,36,0.502098,0.500000,0.002098
19,1080,0.700116,0.702148,0.002032
20,45,0.866196,0.864258,0.001938
21,354,0.700349,0.702148,0.001799
22,74,0.524224,0.522461,0.001763
23,1118,0.895743,0.897461,0.001718
24,967,0.624271,0.625977,0.001705
25,1165,0.772717,0.774414,0.001697
26,555,0.431917,0.433594,0.001677
27,201,0.938181,0.936523,0.001658
28,601,0.859726,0.861328,0.001602
29,1086,0.915650,0.914062,0.001587
30,556,0.899788,0.901367,0.001579
31,619,0.095130,0.093750,0.001380
32,1112,0.747747,0.749023,0.001277
33,1135,0.921622,0.922852,0.001230
34,1001,0.840090,0.838867,0.001223
35,198,0.954346,0.953125,0.001221
36,44,0.806407,0.807617,0.001210
37,350,0.811305,0.812500,0.001195
38,14,0.142789,0.141602,0.001188
39,1010,0.649204,0.650391,0.001187
40,1060,0.763881,0.762695,0.001186
41,968,0.912892,0.914062,0.001170
42,1076,0.613093,0.614258,0.001165
43,528,0.837727,0.838867,0.001141
44,1078,0.934622,0.933594,0.001029
45,1301,0.914100,0.913086,0.001014
46,534,0.998075,0.997070,0.001005
47,86,0.958987,0.958008,0.000979
48,1274,1.000000,0.999023,0.000977
49,1295,1.000000,0.999023,0.000977
50,136,1.000000,0.999023,0.000977
51,111,1.000000,0.999023,0.000977
52,53,1.000000,0.999023,0.000976
53,52,1.000000,0.999023,0.000976
54,160,1.000000,0.999023,0.000976
55,159,1.000000,0.999023,0.000976
56,151,1.000000,0.999023,0.000976
57,402,1.000000,0.999023,0.000976
58,131,1.000000,0.999023,0.000976
