Rank,Sample_Index,y_keras,y_hls,abs_delta
1,1295,1.000000,0.000000,1.000000
2,1274,1.000000,0.000000,1.000000
3,136,1.000000,0.000000,1.000000
4,111,1.000000,0.000000,1.000000
5,52,1.000000,0.000000,1.000000
6,1299,1.000000,0.000000,1.000000
7,60,1.000000,0.000000,1.000000
8,43,1.000000,0.000000,1.000000
9,78,1.000000,0.000000,1.000000
10,151,1.000000,0.000000,1.000000
11,184,1.000000,0.000000,1.000000
12,84,1.000000,0.000000,1.000000
13,73,1.000000,0.000000,1.000000
14,72,1.000000,0.000000,1.000000
15,197,1.000000,0.000000,1.000000
16,47,1.000000,0.000000,1.000000
17,160,1.000000,0.000000,1.000000
18,193,1.000000,0.000000,1.000000
19,165,1.000000,0.000000,1.000000
20,195,1.000000,0.000000,1.000000
21,174,1.000000,0.000000,1.000000
22,93,1.000000,0.000000,1.000000
23,177,1.000000,0.000000,1.000000
24,171,1.000000,0.000000,1.000000
25,89,1.000000,0.000000,1.000000
26,1306,1.000000,0.000000,1.000000
27,139,1.000000,0.000000,1.000000
28,402,1.000000,0.000000,1.000000
29,4,1.000000,0.000000,1.000000
30,53,1.000000,0.000000,1.000000
31,1302,0.000000,0.999023,0.999023
32,651,0.343335,0.449219,0.105883
33,555,0.431917,0.530273,0.098357
34,1317,0.433640,0.530273,0.096633
35,1100,0.493749,0.577148,0.083399
36,967,0.624271,0.705078,0.080807
37,1114,0.450051,0.526367,0.076316
38,1080,0.700116,0.774414,0.074298
39,1010,0.649204,0.721680,0.072476
40,1076,0.613093,0.685547,0.072454
41,1007,0.291231,0.362305,0.071073
42,580,0.688860,0.759766,0.070905
43,618,0.337382,0.407227,0.069845
44,366,0.762560,0.831055,0.068494
45,354,0.700349,0.768555,0.068205
46,1006,0.748926,0.814453,0.065527
47,943,0.424747,0.488281,0.063534
48,1224,0.695411,0.756836,0.061425
49,650,0.718955,0.779297,0.060342
50,1112,0.747747,0.807617,0.059871
51,1165,0.772717,0.831055,0.058337
52,74,0.524224,0.581055,0.056831
53,173,0.234275,0.290039,0.055764
54,484,0.168075,0.222656,0.054581
55,530,0.399053,0.453125,0.054072
56,1310,0.682507,0.736328,0.053821
57,1101,0.702253,0.754883,0.052630
58,350,0.811305,0.863281,0.051976
59,1060,0.763881,0.814453,0.050572
60,1149,0.816473,0.866211,0.049738
61,44,0.806407,0.855469,0.049062
62,1025,0.746070,0.794922,0.048851
63,36,0.502098,0.549805,0.047706
64,1315,0.803424,0.849609,0.046185
65,1023,0.841677,0.883789,0.042112
66,528,0.837727,0.878906,0.041180
67,1068,0.797739,0.838867,0.041128
68,634,0.846142,0.886719,0.040577
69,421,0.789339,0.828125,0.038786
70,1016,0.838573,0.876953,0.038380
71,147,0.109876,0.147461,0.037585
72,695,0.865183,0.902344,0.037161
73,635,0.835244,0.872070,0.036826
74,1072,0.855068,0.891602,0.036534
75,21,0.196866,0.233398,0.036533
76,988,0.866018,0.901367,0.035349
77,1001,0.840090,0.875000,0.034910
78,601,0.859726,0.894531,0.034805
79,1102,0.835465,0.870117,0.034653
80,168,0.720704,0.754883,0.034179
81,556,0.899788,0.933594,0.033805
82,1004,0.883361,0.916992,0.033631
83,984,0.885018,0.917969,0.032950
84,564,0.900091,0.930664,0.030573
85,14,0.142789,0.172852,0.030062
86,1118,0.895743,0.925781,0.030038
87,517,0.859624,0.888672,0.029048
88,566,0.817187,0.845703,0.028516
89,968,0.912892,0.941406,0.028514
90,982,0.898742,0.926758,0.028016
91,1082,0.895043,0.922852,0.027808
92,1206,0.905833,0.933594,0.027761
93,399,0.919072,0.946289,0.027218
94,1029,0.901584,0.927734,0.026150
95,1070,0.882325,0.908203,0.025878
96,1135,0.921622,0.945312,0.023691
97,45,0.866196,0.888672,0.022476
98,834,0.915279,0.937500,0.022221
99,494,0.925126,0.947266,0.022140
100,1110,0.920485,0.942383,0.021897
101,428,0.939169,0.960938,0.021769
102,1084,0.928254,0.949219,0.020965
103,1058,0.917527,0.938477,0.020950
104,1115,0.897183,0.917969,0.020786
105,27,0.081418,0.101562,0.020145
106,619,0.095130,0.115234,0.020105
107,1301,0.914100,0.933594,0.019494
108,1127,0.933679,0.953125,0.019446
109,94,0.938291,0.956055,0.017764
110,582,0.941516,0.958984,0.017469
111,1086,0.915650,0.932617,0.016968
112,1167,0.937428,0.954102,0.016674
113,146,0.911595,0.927734,0.016140
114,149,0.936338,0.952148,0.015810
115,1132,0.944258,0.959961,0.015703
116,1005,0.948342,0.963867,0.015525
117,65,0.050883,0.066406,0.015523
118,121,0.625141,0.640625,0.015484
119,1160,0.935050,0.950195,0.015146
120,201,0.938181,0.953125,0.014944
121,1009,0.940566,0.955078,0.014512
122,15,0.051112,0.065430,0.014318
123,716,0.928224,0.942383,0.014158
124,949,0.943012,0.957031,0.014019
125,375,0.951116,0.964844,0.013728
126,1156,0.946293,0.959961,0.013668
127,942,0.939499,0.953125,0.013626
128,1105,0.953174,0.966797,0.013623
129,1113,0.951473,0.964844,0.013370
130,496,0.043331,0.056641,0.013310
131,558,0.949723,0.962891,0.013167
132,1099,0.957714,0.970703,0.012989
133,1104,0.945088,0.958008,0.012920
134,1259,0.953944,0.966797,0.012853
135,1297,0.000036,0.012695,0.012659
136,1078,0.934622,0.947266,0.012643
137,1103,0.939780,0.952148,0.012369
138,1063,0.949599,0.961914,0.012315
139,807,0.963331,0.975586,0.012255
140,811,0.958831,0.970703,0.011872
141,648,0.961795,0.973633,0.011837
142,1337,0.040949,0.052734,0.011786
143,1143,0.951392,0.962891,0.011498
144,1335,0.035599,0.046875,0.011276
145,1116,0.947735,0.958984,0.011250
146,368,0.038814,0.049805,0.010990
147,981,0.964604,0.975586,0.010982
148,1061,0.946196,0.957031,0.010835
149,491,0.959892,0.970703,0.010811
150,972,0.955323,0.965820,0.010497
151,1157,0.965147,0.975586,0.010439
152,629,0.961242,0.971680,0.010438
153,1309,0.046358,0.056641,0.010282
154,1088,0.968710,0.978516,0.009806
155,1073,0.958000,0.967773,0.009774
156,1075,0.964067,0.973633,0.009566
157,326,0.968102,0.977539,0.009437
158,881,0.965195,0.974609,0.009414
159,353,0.964265,0.973633,0.009368
160,1039,0.970276,0.979492,0.009216
161,86,0.958987,0.967773,0.008786
162,974,0.968761,0.977539,0.008778
163,1020,0.969813,0.978516,0.008702
164,961,0.971851,0.980469,0.008618
165,529,0.965029,0.973633,0.008604
166,198,0.954346,0.962891,0.008545
167,1041,0.972098,0.980469,0.008370
168,1170,0.963383,0.971680,0.008296
169,670,0.969305,0.977539,0.008235
170,1071,0.968595,0.976562,0.007967
171,654,0.975501,0.983398,0.007898
172,516,0.969105,0.976562,0.007457
173,1128,0.973129,0.980469,0.007340
174,373,0.979083,0.986328,0.007245
175,1022,0.967374,0.974609,0.007236
176,109,0.569993,0.577148,0.007155
177,1184,0.976251,0.983398,0.007147
178,997,0.966526,0.973633,0.007107
179,1003,0.973720,0.980469,0.006749
180,1125,0.979634,0.986328,0.006694
181,642,0.971919,0.978516,0.006596
182,1074,0.967083,0.973633,0.006550
183,1097,0.974981,0.981445,0.006464
184,405,0.979056,0.985352,0.006296
185,1153,0.976548,0.982422,0.005874
186,1000,0.979531,0.985352,0.005820
187,1064,0.976657,0.982422,0.005765
188,1187,0.982585,0.988281,0.005696
189,1095,0.978691,0.984375,0.005684
190,1333,0.977795,0.983398,0.005603
191,525,0.979881,0.985352,0.005471
192,1051,0.982047,0.987305,0.005258
193,29,0.019171,0.024414,0.005243
194,572,0.981099,0.986328,0.005229
195,24,0.013346,0.018555,0.005209
196,574,0.983145,0.988281,0.005136
197,671,0.982416,0.987305,0.004889
198,1130,0.982478,0.987305,0.004827
199,921,0.982625,0.987305,0.004680
200,661,0.983610,0.988281,0.004671
201,717,0.985565,0.990234,0.004669
202,282,0.977892,0.982422,0.004530
203,1261,0.977924,0.982422,0.004498
204,340,0.985743,0.990234,0.004492
205,537,0.984945,0.989258,0.004313
206,1172,0.980088,0.984375,0.004287
207,1307,0.015335,0.019531,0.004197
208,316,0.984212,0.988281,0.004069
209,659,0.979350,0.983398,0.004048
210,511,0.985215,0.989258,0.004043
211,561,0.986521,0.990234,0.003714
